Category,Descript,DayOfWeek,PdDistrict,Resolution
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,INGLESIDE,NONE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Wednesday,TARAVAL,NONE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Wednesday,SOUTHERN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,CENTRAL,"ARREST, CITED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,BAYVIEW,JUVENILE CITED
OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,TARAVAL,"ARREST, CITED"
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,CONSPIRACY,Thursday,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,SOUTHERN,NONE
BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Thursday,TENDERLOIN,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,TENDERLOIN,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,BAYVIEW,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF HEROIN,Wednesday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Wednesday,TENDERLOIN,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Wednesday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Sunday,CENTRAL,NONE
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,RICHMOND,"ARREST, BOOKED"
DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Wednesday,RICHMOND,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,CENTRAL,NONE
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,BAYVIEW,NONE
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Wednesday,NORTHERN,JUVENILE BOOKED
OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,NORTHERN,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,NORTHERN,"ARREST, CITED"
BURGLARY,"BURGLARY OF WAREHOUSE, ATTEMPTED FORCIBLE ENTRY",Wednesday,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE
LARCENY/THEFT,"LOST PROPERTY, GRAND THEFT",Wednesday,SOUTHERN,NONE
OTHER OFFENSES,CRUELTY TO ANIMALS,Thursday,PARK,JUVENILE BOOKED
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,TENDERLOIN,"ARREST, CITED"
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Thursday,TENDERLOIN,"ARREST, BOOKED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,MISSION,"ARREST, BOOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,CENTRAL,PSYCHOPATHIC CASE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,PARK,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,MISSION,NONE
ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",Thursday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Thursday,TENDERLOIN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,PARK,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,BAYVIEW,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,PSYCHOPATHIC CASE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Wednesday,SOUTHERN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,BAYVIEW,"ARREST, CITED"
"SEX OFFENSES, FORCIBLE",ASSAULT TO RAPE WITH BODILY FORCE,Sunday,INGLESIDE,"ARREST, BOOKED"
ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,INGLESIDE,"ARREST, BOOKED"
KIDNAPPING,FALSE IMPRISONMENT,Sunday,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,DANGER OF LEADING IMMORAL LIFE,Sunday,INGLESIDE,"ARREST, BOOKED"
NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Thursday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE
NON-CRIMINAL,FIRE REPORT,Thursday,TENDERLOIN,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,BAYVIEW,"ARREST, CITED"
ASSAULT,BATTERY,Thursday,TENDERLOIN,NONE
ASSAULT,BATTERY,Thursday,CENTRAL,"ARREST, CITED"
FRAUD,DEFRAUDING AN INNKEEPER,Thursday,SOUTHERN,"ARREST, CITED"
ASSAULT,BATTERY,Thursday,BAYVIEW,NONE
ASSAULT,THREATS AGAINST LIFE,Thursday,BAYVIEW,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,SOUTHERN,"ARREST, CITED"
ASSAULT,BATTERY,Thursday,TARAVAL,"ARREST, BOOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,PSYCHOPATHIC CASE
ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Thursday,SOUTHERN,NONE
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Thursday,SOUTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,PSYCHOPATHIC CASE
TRESPASS,TRESPASSING,Thursday,CENTRAL,NONE
BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Thursday,RICHMOND,"ARREST, BOOKED"
ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,SOUTHERN,NONE
OTHER OFFENSES,RESISTING ARREST,Wednesday,SOUTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,SOUTHERN,NONE
WARRANTS,ENROUTE TO PAROLE OFFICER,Thursday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,INGLESIDE,"ARREST, BOOKED"
NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Thursday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT WITH PRIOR,Thursday,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,TENDERLOIN,"ARREST, CITED"
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,PARK,NONE
WARRANTS,WARRANT ARREST,Thursday,PARK,NONE
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,CENTRAL,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,CENTRAL,"ARREST, BOOKED"
NON-CRIMINAL,FOUND PROPERTY,Thursday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE
FRAUD,DEFRAUDING AN INNKEEPER,Thursday,SOUTHERN,"ARREST, CITED"
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,TARAVAL,NONE
RUNAWAY,RUNAWAY,Thursday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,CENTRAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,TENDERLOIN,"ARREST, CITED"
NON-CRIMINAL,AIDED CASE,Thursday,CENTRAL,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Thursday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,SOUTHERN,"ARREST, CITED"
ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH A GUN,Friday,CENTRAL,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,SOUTHERN,NONE
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Thursday,CENTRAL,JUVENILE BOOKED
ASSAULT,CHILD ABUSE (PHYSICAL),Thursday,BAYVIEW,"ARREST, BOOKED"
ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,BAYVIEW,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,CENTRAL,"ARREST, BOOKED"
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Friday,BAYVIEW,NONE
WARRANTS,WARRANT ARREST,Friday,BAYVIEW,NONE
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,BAYVIEW,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,TENDERLOIN,"ARREST, CITED"
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,MISSION,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Friday,MISSION,"ARREST, BOOKED"
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,TENDERLOIN,NONE
ASSAULT,BATTERY,Friday,CENTRAL,"ARREST, CITED"
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,CENTRAL,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Friday,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,FAILURE TO REGISTER AS SEX OFFENDER,Friday,TENDERLOIN,"ARREST, BOOKED"
ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Friday,CENTRAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE
OTHER OFFENSES,OBSCENE PHONE CALLS(S),Monday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,NORTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Wednesday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Monday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Monday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Thursday,RICHMOND,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE
NON-CRIMINAL,LOST PROPERTY,Monday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Wednesday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Wednesday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Monday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Sunday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,TARAVAL,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,NORTHERN,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,TARAVAL,NONE
VEHICLE THEFT,STOLEN TRUCK,Thursday,BAYVIEW,NONE
VEHICLE THEFT,STOLEN TRUCK,Friday,PARK,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,TARAVAL,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,TARAVAL,NONE
VEHICLE THEFT,STOLEN TRUCK,Saturday,INGLESIDE,UNFOUNDED
VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,INGLESIDE,NONE
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Friday,CENTRAL,NONE
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Monday,PARK,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,PARK,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,RICHMOND,NONE
ASSAULT,BATTERY,Thursday,MISSION,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE
NON-CRIMINAL,AIDED CASE,Thursday,TARAVAL,NONE
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Tuesday,CENTRAL,NONE
ASSAULT,BATTERY,Monday,TARAVAL,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,CENTRAL,NONE
NON-CRIMINAL,AIDED CASE,Wednesday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN TRUCK,Wednesday,SOUTHERN,NONE
ASSAULT,BATTERY,Wednesday,INGLESIDE,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,INGLESIDE,NONE
MISSING PERSON,MISSING ADULT,Sunday,INGLESIDE,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,MISSION,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Monday,INGLESIDE,NONE
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,INGLESIDE,NONE
ARSON,ARSON,Wednesday,CENTRAL,NONE
LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Thursday,CENTRAL,NONE
NON-CRIMINAL,LOST PROPERTY,Wednesday,CENTRAL,NONE
NON-CRIMINAL,LOST PROPERTY,Wednesday,CENTRAL,NONE
ASSAULT,BATTERY,Thursday,TARAVAL,NONE
ASSAULT,THREATS AGAINST LIFE,Thursday,CENTRAL,NONE
NON-CRIMINAL,FOUND PROPERTY,Thursday,CENTRAL,NONE
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Thursday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,CENTRAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE
NON-CRIMINAL,TARASOFF REPORT,Sunday,TARAVAL,NONE
OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Thursday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,TENDERLOIN,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",Thursday,NORTHERN,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,NORTHERN,NONE
VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,SOUTHERN,NONE
BURGLARY,"BURGLARY OF FLAT, UNLAWFUL ENTRY",Thursday,PARK,NONE
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Thursday,PARK,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,PARK,UNFOUNDED
VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,RICHMOND,UNFOUNDED
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Tuesday,MISSION,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,BAYVIEW,NONE
ASSAULT,CHILD ABUSE (PHYSICAL),Sunday,BAYVIEW,NONE
OTHER OFFENSES,CONSPIRACY,Sunday,BAYVIEW,NONE
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Sunday,BAYVIEW,NONE
VEHICLE THEFT,STOLEN TRUCK,Thursday,NORTHERN,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,INGLESIDE,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,SOUTHERN,"ARREST, CITED"
LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Tuesday,SOUTHERN,"ARREST, CITED"
BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Sunday,SOUTHERN,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,INGLESIDE,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,NORTHERN,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,MISSION,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,BAYVIEW,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,TARAVAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,TENDERLOIN,NONE
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Saturday,TENDERLOIN,NONE
NON-CRIMINAL,FOUND PROPERTY,Sunday,RICHMOND,NONE
FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Wednesday,INGLESIDE,NONE
BAD CHECKS,"CHECKS, NON-SUFFICIENT FUNDS (FELONY",Wednesday,INGLESIDE,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,CENTRAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Monday,CENTRAL,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,RICHMOND,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,BAYVIEW,NONE
NON-CRIMINAL,FOUND PROPERTY,Monday,BAYVIEW,NONE
"SEX OFFENSES, FORCIBLE",ANNOY OR MOLEST CHILDREN,Saturday,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Monday,INGLESIDE,NONE
DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Wednesday,TENDERLOIN,"ARREST, CITED"
TRESPASS,TRESPASSING,Wednesday,TENDERLOIN,"ARREST, CITED"
ASSAULT,THREATS AGAINST LIFE,Tuesday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Tuesday,BAYVIEW,"ARREST, BOOKED"
NON-CRIMINAL,FOUND PROPERTY,Wednesday,TENDERLOIN,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,PARK,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,MISSION,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Tuesday,NORTHERN,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,CENTRAL,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,INGLESIDE,UNFOUNDED
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,PSYCHOPATHIC CASE
NON-CRIMINAL,TARASOFF REPORT,Thursday,SOUTHERN,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,PSYCHOPATHIC CASE
ASSAULT,STALKING,Thursday,RICHMOND,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,RICHMOND,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,INGLESIDE,NONE
BURGLARY,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY",Thursday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,RICHMOND,NONE
ASSAULT,BATTERY,Thursday,TENDERLOIN,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,TENDERLOIN,PSYCHOPATHIC CASE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,NORTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,PARK,PSYCHOPATHIC CASE
MISSING PERSON,MISSING JUVENILE,Tuesday,SOUTHERN,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,NORTHERN,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Wednesday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,MISSION,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,PSYCHOPATHIC CASE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,CENTRAL,NONE
BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY",Thursday,SOUTHERN,NONE
FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Sunday,MISSION,NONE
NON-CRIMINAL,FOUND PROPERTY,Thursday,RICHMOND,NONE
NON-CRIMINAL,FOUND PROPERTY,Thursday,MISSION,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,RICHMOND,NONE
LARCENY/THEFT,GRAND THEFT AUTO STRIP,Wednesday,BAYVIEW,NONE
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,PARK,NONE
RUNAWAY,RUNAWAY,Monday,BAYVIEW,NONE
MISSING PERSON,MISSING ADULT,Thursday,PARK,LOCATED
MISSING PERSON,FOUND PERSON,Thursday,PARK,LOCATED
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE
BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Wednesday,INGLESIDE,NONE
NON-CRIMINAL,LOST PROPERTY,Tuesday,NORTHERN,NONE
MISSING PERSON,MISSING ADULT,Sunday,MISSION,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Tuesday,SOUTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,MISSION,PSYCHOPATHIC CASE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,CENTRAL,NONE
"SEX OFFENSES, FORCIBLE",SEXUAL BATTERY,Monday,SOUTHERN,NONE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,MISSION,UNFOUNDED
FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,MISSION,UNFOUNDED
NON-CRIMINAL,LOST PROPERTY,Monday,RICHMOND,NONE
BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,INGLESIDE,NONE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,CENTRAL,NONE
FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY",Thursday,SOUTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,TENDERLOIN,NONE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,MISSION,NONE
MISSING PERSON,MISSING JUVENILE,Thursday,INGLESIDE,LOCATED
