Category,Descript,DayOfWeek,PdDistrict,Resolution
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Wednesday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Thursday,BAYVIEW,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,PSYCHOPATHIC CASE
TRESPASS,TRESPASSING,Thursday,BAYVIEW,"ARREST, CITED"
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,BAYVIEW,"ARREST, CITED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,MISSION,"ARREST, BOOKED"
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED"
LIQUOR LAWS,CONSUMING ALCOHOL IN PUBLIC VIEW,Thursday,TENDERLOIN,"ARREST, BOOKED"
ASSAULT,BATTERY,Monday,NORTHERN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,BAYVIEW,"ARREST, CITED"
ROBBERY,ATTEMPTED ROBBERY COMM. ESTAB. WITH DEADLY WEAPON,Wednesday,SOUTHERN,NONE
ASSAULT,THREATENING PHONE CALL(S),Sunday,NORTHERN,NONE
ASSAULT,BATTERY,Thursday,MISSION,"ARREST, BOOKED"
ASSAULT,THREATS AGAINST LIFE,Thursday,MISSION,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,MISSION,"ARREST, CITED"
LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,MISSION,NONE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Thursday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,TARAVAL,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,BAYVIEW,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT COIN OPERATED MACHINE,Thursday,SOUTHERN,"ARREST, BOOKED"
FRAUD,"TRICK AND DEVICE, PETTY THEFT",Thursday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,SOUTHERN,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,MISSION,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,MISSION,NONE
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Thursday,SOUTHERN,"ARREST, BOOKED"
ASSAULT,BATTERY,Thursday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE
NON-CRIMINAL,AIDED CASE,Thursday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,TENDERLOIN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,SOUTHERN,"ARREST, CITED"
NON-CRIMINAL,AIDED CASE,Thursday,PARK,NONE
ROBBERY,"ROBBERY, BODILY FORCE",Thursday,MISSION,NONE
KIDNAPPING,FALSE IMPRISONMENT,Thursday,MISSION,NONE
NON-CRIMINAL,AIDED CASE,Thursday,TARAVAL,NONE
ASSAULT,BATTERY,Thursday,PARK,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,PARK,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,SOUTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,PSYCHOPATHIC CASE
WARRANTS,ENROUTE TO PAROLE OFFICER,Thursday,SOUTHERN,"ARREST, BOOKED"
ASSAULT,BATTERY,Thursday,PARK,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,PARK,"ARREST, BOOKED"
FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,RICHMOND,NONE
"SEX OFFENSES, FORCIBLE",SEXUAL BATTERY,Tuesday,RICHMOND,JUVENILE BOOKED
KIDNAPPING,FALSE IMPRISONMENT,Tuesday,RICHMOND,JUVENILE BOOKED
OTHER OFFENSES,DANGER OF LEADING IMMORAL LIFE,Tuesday,RICHMOND,JUVENILE BOOKED
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,NORTHERN,PSYCHOPATHIC CASE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,TENDERLOIN,NONE
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Thursday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,MISSION,"ARREST, BOOKED"
NON-CRIMINAL,LOST PROPERTY,Monday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,SOUTHERN,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,TENDERLOIN,NONE
NON-CRIMINAL,LOST PROPERTY,Monday,TENDERLOIN,NONE
LARCENY/THEFT,PETTY THEFT BICYCLE,Thursday,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Thursday,CENTRAL,"ARREST, BOOKED"
ROBBERY,ROBBERY ON THE STREET WITH A KNIFE,Thursday,MISSION,NONE
OTHER OFFENSES,CONSPIRACY,Thursday,MISSION,NONE
NON-CRIMINAL,"AIDED CASE, DOG BITE",Wednesday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,TENDERLOIN,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,MISSION,NONE
LIQUOR LAWS,POSSESSION OF ALCOHOL BY MINOR,Thursday,PARK,"ARREST, CITED"
OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,PARK,"ARREST, CITED"
ROBBERY,ROBBERY OF A RESIDENCE WITH A GUN,Thursday,TARAVAL,NONE
BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Thursday,TARAVAL,NONE
KIDNAPPING,FALSE IMPRISONMENT,Thursday,TARAVAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,SOUTHERN,NONE
NON-CRIMINAL,AIDED CASE,Thursday,TARAVAL,NONE
NON-CRIMINAL,LOST PROPERTY,Wednesday,TARAVAL,NONE
BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Thursday,TARAVAL,NONE
FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Tuesday,NORTHERN,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Tuesday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Thursday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH A GUN,Thursday,SOUTHERN,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,SOUTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,NORTHERN,PSYCHOPATHIC CASE
ROBBERY,"ROBBERY, BODILY FORCE",Thursday,MISSION,NONE
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Thursday,MISSION,NONE
ASSAULT,ATTEMPTED SIMPLE ASSAULT,Saturday,NORTHERN,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Thursday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Tuesday,NORTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Tuesday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Thursday,TARAVAL,NONE
ASSAULT,BATTERY,Thursday,TARAVAL,NONE
NON-CRIMINAL,FOUND PROPERTY,Thursday,INGLESIDE,NONE
WARRANTS,WARRANT ARREST,Thursday,MISSION,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,TARAVAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,CENTRAL,PSYCHOPATHIC CASE
OTHER OFFENSES,RECKLESS DRIVING,Thursday,CENTRAL,PSYCHOPATHIC CASE
LARCENY/THEFT,GRAND THEFT BICYCLE,Thursday,MISSION,NONE
RUNAWAY,RUNAWAY,Thursday,BAYVIEW,NONE
MISSING PERSON,MISSING JUVENILE,Thursday,BAYVIEW,NONE
MISSING PERSON,FOUND PERSON,Thursday,BAYVIEW,NONE
WEAPON LAWS,CARRYING A CONCEALED WEAPON,Thursday,SOUTHERN,"ARREST, BOOKED"
WEAPON LAWS,POSS OF PROHIBITED WEAPON,Thursday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,VIOLATION OF PARK CODE,Thursday,SOUTHERN,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Friday,BAYVIEW,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,PARK,"ARREST, CITED"
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,CENTRAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Friday,MISSION,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF COCAINE,Thursday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Thursday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Thursday,TENDERLOIN,"ARREST, BOOKED"
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,SOUTHERN,NONE
ASSAULT,CHILD ABUSE (PHYSICAL),Thursday,SOUTHERN,NONE
ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,SOUTHERN,NONE
KIDNAPPING,"KIDNAPPING, JUVENILE VICTIM",Thursday,NORTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Thursday,NORTHERN,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,PARK,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,TENDERLOIN,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Thursday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,CONSPIRACY,Thursday,TENDERLOIN,"ARREST, BOOKED"
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,NORTHERN,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,SOUTHERN,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,SOUTHERN,NONE
ASSAULT,BATTERY,Thursday,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,"LOST PROPERTY, GRAND THEFT",Thursday,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,TENDERLOIN,PSYCHOPATHIC CASE
DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Thursday,TENDERLOIN,"ARREST, BOOKED"
ROBBERY,"ROBBERY, ARMED WITH A GUN",Friday,CENTRAL,NONE
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Friday,NORTHERN,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Friday,NORTHERN,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,NORTHERN,"ARREST, BOOKED"
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Thursday,MISSION,NONE
VEHICLE THEFT,STOLEN TRUCK,Thursday,SOUTHERN,UNFOUNDED
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Friday,PARK,"ARREST, BOOKED"
DRUG/NARCOTIC,SALE OF MARIJUANA,Friday,PARK,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Friday,PARK,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Friday,RICHMOND,"ARREST, BOOKED"
DRUG/NARCOTIC,SALE OF MARIJUANA,Friday,RICHMOND,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Friday,RICHMOND,"ARREST, BOOKED"
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Thursday,INGLESIDE,NONE
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Friday,BAYVIEW,NONE
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Friday,BAYVIEW,NONE
VEHICLE THEFT,STOLEN TRUCK,Friday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,NORTHERN,NONE
BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,TARAVAL,NONE
VEHICLE THEFT,STOLEN TRUCK,Thursday,TARAVAL,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,MISSION,NONE
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Friday,MISSION,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,PARK,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,MISSION,NONE
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Saturday,TARAVAL,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,PARK,NONE
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Friday,INGLESIDE,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,SOUTHERN,PSYCHOPATHIC CASE
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,MISSION,NONE
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Thursday,RICHMOND,NONE
VEHICLE THEFT,STOLEN TRUCK,Thursday,RICHMOND,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,NORTHERN,NONE
BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Sunday,PARK,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Sunday,CENTRAL,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Sunday,CENTRAL,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Sunday,CENTRAL,"ARREST, BOOKED"
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Saturday,MISSION,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,MISSION,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,NORTHERN,NONE
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Saturday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN TRUCK,Saturday,INGLESIDE,NONE
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Saturday,BAYVIEW,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,PARK,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,NORTHERN,NONE
VEHICLE THEFT,STOLEN MOTORCYCLE,Saturday,MISSION,NONE
ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,BAYVIEW,NONE
ASSAULT,THREATS AGAINST LIFE,Sunday,BAYVIEW,NONE
KIDNAPPING,"KIDNAPPING, ADULT VICTIM",Sunday,BAYVIEW,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,BAYVIEW,NONE
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,TARAVAL,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,TENDERLOIN,NONE
MISSING PERSON,MISSING ADULT,Sunday,NORTHERN,LOCATED
MISSING PERSON,FOUND PERSON,Sunday,NORTHERN,LOCATED
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,MISSION,NONE
MISSING PERSON,MISSING ADULT,Saturday,NORTHERN,LOCATED
MISSING PERSON,FOUND PERSON,Saturday,NORTHERN,LOCATED
BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Tuesday,INGLESIDE,"ARREST, BOOKED"
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,SOUTHERN,NONE
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,BAYVIEW,"ARREST, BOOKED"
NON-CRIMINAL,AIDED CASE,Thursday,CENTRAL,NONE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,CENTRAL,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,BAYVIEW,"ARREST, CITED"
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Friday,INGLESIDE,"ARREST, BOOKED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,MISSION,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,BAYVIEW,NONE
DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Wednesday,PARK,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,INGLESIDE,NONE
ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Wednesday,NORTHERN,NONE
ASSAULT,BATTERY,Wednesday,BAYVIEW,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,BAYVIEW,NONE
ROBBERY,"ROBBERY, BODILY FORCE",Wednesday,NORTHERN,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Wednesday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Wednesday,BAYVIEW,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Wednesday,BAYVIEW,"ARREST, BOOKED"
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Wednesday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Wednesday,NORTHERN,NONE
ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Wednesday,PARK,NONE
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,BAYVIEW,"ARREST, BOOKED"
MISSING PERSON,MISSING ADULT,Wednesday,SOUTHERN,LOCATED
MISSING PERSON,FOUND PERSON,Wednesday,SOUTHERN,LOCATED
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,NORTHERN,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,SOUTHERN,PSYCHOPATHIC CASE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,NORTHERN,NONE
BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Wednesday,BAYVIEW,NONE
ARSON,ARSON OF AN INHABITED DWELLING,Thursday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Thursday,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,CENTRAL,NONE
FRAUD,"CREDIT CARD, THEFT OF",Tuesday,CENTRAL,NONE
LARCENY/THEFT,GRAND THEFT BICYCLE,Wednesday,SOUTHERN,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,PARK,JUVENILE ADMONISHED
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,INGLESIDE,"ARREST, CITED"
NON-CRIMINAL,LOST PROPERTY,Wednesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,RICHMOND,NONE
ASSAULT,BATTERY,Thursday,BAYVIEW,"ARREST, CITED"
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,CENTRAL,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,TARAVAL,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,INGLESIDE,"ARREST, CITED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,PARK,PSYCHOPATHIC CASE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,PARK,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,SOUTHERN,JUVENILE CITED
OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,SOUTHERN,JUVENILE CITED
SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Thursday,CENTRAL,NOT PROSECUTED
ROBBERY,ROBBERY ON THE STREET WITH A GUN,Thursday,TENDERLOIN,NONE
FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY",Sunday,CENTRAL,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Sunday,CENTRAL,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,PARK,NONE
NON-CRIMINAL,FOUND PROPERTY,Thursday,CENTRAL,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Thursday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,SOUTHERN,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,PARK,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Thursday,PARK,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Thursday,PARK,"ARREST, BOOKED"
NON-CRIMINAL,AIDED CASE,Thursday,INGLESIDE,NOT PROSECUTED
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,INGLESIDE,NOT PROSECUTED
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,PARK,NONE
ASSAULT,THREATS AGAINST LIFE,Wednesday,MISSION,NONE
KIDNAPPING,FALSE IMPRISONMENT,Wednesday,MISSION,NONE
BURGLARY,"BURGLARY OF FLAT, UNLAWFUL ENTRY",Wednesday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,MISSION,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A GUN,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,CENTRAL,NONE
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Thursday,MISSION,NONE
WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Thursday,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,CONSPIRACY,Thursday,INGLESIDE,"ARREST, BOOKED"
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,MISSION,NONE
MISSING PERSON,MISSING JUVENILE,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Thursday,SOUTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,MISSION,PSYCHOPATHIC CASE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,INGLESIDE,"ARREST, CITED"
OTHER OFFENSES,VIOLATION OF PARK CODE,Friday,PARK,"ARREST, BOOKED"
WARRANTS,ENROUTE TO PAROLE OFFICER,Friday,PARK,"ARREST, BOOKED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,PARK,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,TENDERLOIN,NONE
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Friday,SOUTHERN,NONE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,BAYVIEW,NONE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,PARK,NONE
MISSING PERSON,FOUND PERSON,Friday,PARK,LOCATED
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Thursday,CENTRAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,SOUTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,MISSION,PSYCHOPATHIC CASE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,NORTHERN,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,PARK,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,PARK,NONE
FRAUD,"FALSE PRETENSES, GRAND THEFT",Tuesday,TARAVAL,NONE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Thursday,TENDERLOIN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,CENTRAL,NONE
ROBBERY,"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM",Friday,CENTRAL,NONE
ASSAULT,BATTERY,Thursday,CENTRAL,NONE
